year,title,gross,director,cast,url
2007,Ta Ra Rum Pum,₹ 70 crore,Siddharth Anand,Saif Ali Khan; Rani Mukerji; Angelina Idnani; Ali Haji; Javed Jaffrey,https://en.wikipedia.org/wiki/Ta_Ra_Rum_Pum
2008,Ghajini,₹ 232 crore (US$53.33 million),A R Murugadoss,Aamir Khan; Asin; Jiah Khan; Pradeep Rawat,https://en.wikipedia.org/wiki/Ghajini_(2008_film)
2008,Rab Ne Bana Di Jodi,₹ 157 crore (US$36.09 million),Aditya Chopra,Shah Rukh Khan; Anushka Sharma; Vinay Pathak,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi
2008,Singh Is Kinng,₹ 136 crore (US$31.26 million),Anees Bazmee,Akshay Kumar; Katrina Kaif; Om Puri; Ranvir Shorey; Neha Dhupia; Javed Jaffrey; Sonu Sood; Kirron Kher,https://en.wikipedia.org/wiki/Singh_Is_Kinng
2008,Jodhaa Akbar,₹ 120 crore (US$27.58 million),Ashutosh Gowariker,Hrithik Roshan; Aishwarya Rai Bachchan,https://en.wikipedia.org/wiki/Jodhaa_Akbar
2008,Race,₹ 106 crore (US$24.37 million),Abbas–Mustan,Anil Kapoor; Saif Ali Khan; Akshaye Khanna; Bipasha Basu; Katrina Kaif; Sameera Reddy,https://en.wikipedia.org/wiki/Race_(2008_film)
2008,Golmaal Returns,₹ 95 crore (US$21.84 million),Rohit Shetty,Ajay Devgn; Kareena Kapoor; Arshad Warsi; Shreyas Talpade; Tusshar Kapoor; Amrita Arora; Celina Jaitley; Anjana Sukhani,https://en.wikipedia.org/wiki/Golmaal_Returns
2008,Dostana,₹ 87 crore (US$20 million),Tarun Mansukhani,Abhishek Bachchan; John Abraham; Priyanka Chopra; Kirron Kher,https://en.wikipedia.org/wiki/Dostana_(2008_film)
2008,Bachna Ae Haseeno,₹ 79 crore (US$18.16 million),Siddharth Anand,Ranbir Kapoor; Bipasha Basu; Deepika Padukone; Minissha Lamba,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno
2008,Bhoothnath,₹ 70 crore (US$16.09 million),Vivek Sharma,Amitabh Bachchan; Juhi Chawla; Shah Rukh Khan; Aman Siddiqui; Rajpal Yadav; Priyanshu Chatterjee,https://en.wikipedia.org/wiki/Bhoothnath
2008,Sarkar Raj,₹ 63 crore (US$14.48 million),Ram Gopal Varma,Amitabh Bachchan; Abhishek Bachchan; Aishwarya Rai Bachchan; Dilip Prabhavalkar; Supriya Pathak,https://en.wikipedia.org/wiki/Sarkar_Raj
2009,3 Idiots,₹ 400.61 crore (US$82.76 million),Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi; Kareena Kapoor Khan; Boman Irani; Mona Singh,https://en.wikipedia.org/wiki/3_Idiots
2009,Love Aaj Kal,₹ 119.52 crore (US$24.69 million),Imtiaz Ali,Saif Ali Khan; Deepika Padukone; Giselli Monteiro; Rishi Kapoor,https://en.wikipedia.org/wiki/Love_Aaj_Kal_(2009_film)
2009,Ajab Prem Ki Ghazab Kahani,₹ 106.74 crore (US$22.05 million),Rajkumar Santoshi,Ranbir Kapoor; Katrina Kaif,https://en.wikipedia.org/wiki/Ajab_Prem_Ki_Ghazab_Kahani
2009,Wanted,₹ 93.23 crore (US$19.26 million),Prabhu Deva,Salman Khan; Ayesha Takia; Prakash Raj; Vinod Khanna; Mahesh Manjrekar,https://en.wikipedia.org/wiki/Wanted_(2009_film)
2009,Kambakkht Ishq,₹ 85.56 crore (US$17.68 million),Sabbir Khan,Akshay Kumar; Kareena Kapoor; Aftab Shivdasani; Amrita Arora; Javed Jaffrey; Kirron Kher,https://en.wikipedia.org/wiki/Kambakkht_Ishq
2009,De Dana Dan,₹ 81.85 crore (US$16.91 million),Priyadarshan,Akshay Kumar; Suniel Shetty; Katrina Kaif; Paresh Rawal; Shakti Kapoor; Asrani,https://en.wikipedia.org/wiki/De_Dana_Dan
2009,New York,₹ 78.34 crore (US$16.18 million),Kabir Khan,John Abraham; Katrina Kaif; Neil Nitin Mukesh; Irrfan Khan,https://en.wikipedia.org/wiki/New_York_(2009_film)
2009,Kaminey,₹ 71.57 crore (US$14.79 million),Vishal Bhardwaj,Shahid Kapoor; Priyanka Chopra; Amole Gupte,https://en.wikipedia.org/wiki/Kaminey
2009,Blue,₹ 63.92 crore (US$13.21 million),Anthony D'Souza,Sanjay Dutt; Akshay Kumar; Lara Dutta; Katrina Kaif; Zayed Khan; Rahul Dev,https://en.wikipedia.org/wiki/Blue_(2009_film)
2009,All the Best: Fun Begins,₹ 61 crore (US$12.6 million),Rohit Shetty,Sanjay Dutt; Ajay Devgn; Fardeen Khan; Bipasha Basu; Mugdha Godse,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins
2010,Dabangg,₹ 221.14 crore (US$48.36 million),Abhinav Kashyap,Salman Khan; Sonakshi Sinha; Arbaaz Khan; Sonu Sood; Vinod Khanna; Dimple Kapadia; Mahie Gill; Anupam Kher,https://en.wikipedia.org/wiki/Dabangg
2010,My Name Is Khan,₹ 220.3 crore (US$48.18 million),Karan Johar,Shah Rukh Khan; Kajol,https://en.wikipedia.org/wiki/My_Name_Is_Khan
2010,Golmaal 3,₹ 167 crore (US$36.52 million),Rohit Shetty,Mithun Chakraborty; Ratna Pathak Shah; Ajay Devgn; Arshad Warsi; Kareena Kapoor; Tusshar Kapoor; Shreyas Talpade; Kunal Khemu,https://en.wikipedia.org/wiki/Golmaal_3
2010,Raajneeti,₹ 145.50 crore (US$31.82 million),Prakash Jha,Ranbir Kapoor; Nana Patekar; Ajay Devgn; Katrina Kaif; Arjun Rampal; Manoj Bajpayee; Sarah Thompson; Naseeruddin Shah,https://en.wikipedia.org/wiki/Raajneeti
2010,Housefull,₹ 114.18 crore (US$24.97 million),Sajid Khan,Akshay Kumar; Ritesh Deshmukh; Arjun Rampal; Lara Dutta; Deepika Padukone; Jiah Khan,https://en.wikipedia.org/wiki/Housefull_(2010_film)
2010,Tees Maar Khan,₹ 101.89 crore (US$22.28 million),Farah Khan,Akshay Kumar; Akshaye Khanna; Katrina Kaif,https://en.wikipedia.org/wiki/Tees_Maar_Khan_(2010_film)
2010,Once Upon A Time In Mumbaai,₹ 96.44 crore (US$21.09 million),Milan Luthria,Ajay Devgn; Emraan Hashmi; Kangana Ranaut; Prachi Desai; Randeep Hooda,https://en.wikipedia.org/wiki/Once_Upon_A_Time_In_Mumbaai
2010,I Hate Luv Storys,₹ 72.52 crore (US$15.86 million),Punit Malhotra,Imran Khan; Sonam Kapoor,https://en.wikipedia.org/wiki/I_Hate_Luv_Storys
2010,Anjaana Anjaani,₹ 69.85 crore (US$15.28 million),Siddharth Anand,Ranbir Kapoor; Priyanka Chopra,https://en.wikipedia.org/wiki/Anjaana_Anjaani
2010,Khatta Meetha,₹ 62.79 crore (US$13.73 million),Priyadarshan,Akshay Kumar; Trisha; Urvashi Sharma; Rajpal Yadav,https://en.wikipedia.org/wiki/Khatta_Meetha_(2010_film)
