actor,nepo,n_films,won_national,won_filmfare
Perizaad Zorabian,False,6,False,False
Makarand Deshpande,False,6,False,False
Inder Kumar,False,6,False,False
Upasana Singh,False,6,False,False
Dolly Ahluwalia,False,6,False,False
Suhasini Mulay,False,6,False,True
Malaika Arora,False,6,False,False
Asawari Joshi,False,6,False,False
Ali Zafar,False,6,False,False
Celina Jaitley,False,6,False,False
Simone Singh,False,6,False,False
Anshuman Jha,False,6,False,False
Sayaji Shinde,False,6,False,True
Krishna Abhishek,False,6,False,False
Vivan Bhatena,False,6,False,False
Natassha,False,6,False,False
Manjot Singh,False,6,False,False
Lisa Ray,False,6,False,False
Deepak Tijori,False,6,False,False
Aahana Kumra,False,6,False,False
Priyanshu Painyuli,False,6,False,False
Ishaan Khatter,True,6,False,True
Tigmanshu Dhulia,False,6,False,False
Anup Soni,False,6,False,False
Tiku Talsania,False,6,False,False
Anang Desai,False,5,False,False
Amy Jackson,False,5,False,False
Twinkle Khanna,True,5,False,False
Swanand Kirkire,False,5,False,False
Barun Sobti,False,5,False,False
Amrita Puri,False,5,False,True
Gurmeet Choudhary,False,5,False,False
Neeraj Sood,False,5,False,False
Pawan Malhotra,False,5,False,False
Sudhir Pandey,False,5,False,False
Koena Mitra,False,5,False,False
Karan Nath,False,5,False,False
Rambha,False,5,False,False
Ira Dubey,False,5,False,False
Karan Singh Grover,False,5,False,False
Nishikant Kamat,False,5,False,False
Rakesh Bapat,False,5,False,False
Sudeep,False,5,False,False
Rani Mukherji,False,5,False,False
Sahil Khan,False,5,False,False
Rajesh Khanna,False,5,False,True
Alaya F,False,5,False,False
Jas Arora,False,5,False,False
Bruna Abdullah,False,5,False,False
Anand Tiwari,False,5,False,False
Alka Amin,False,5,False,False
Amole Gupte,False,5,False,False
Tamannaah,False,5,False,False
Tom Alter,False,5,False,False
Randhir Kapoor,False,5,False,True
Kiran Janjani,False,5,False,False
Sherlyn Chopra,False,5,False,False
Vardhan Puri,False,5,False,False
Dharmesh Yelande,False,5,False,False
Puja Gupta,False,5,False,False
Neha,False,5,False,False
Rajeev Verma,False,5,False,False
Anuj Sawhney,False,5,False,False
Nikitin Dheer,False,5,False,False
Virendra Saxena,False,5,False,False
Asin,False,5,False,False
Asif Basra,False,5,False,False
Priyanka Bose,False,5,False,False
Rhea Chakraborty,False,5,False,False
Ganesh Acharya,False,5,False,False
Bidita Bag,False,5,False,False
Isha Sharvani,False,5,False,False
Hiten Tejwani,False,5,False,False
Gautam Rode,False,5,False,False
Zareen Khan,False,5,False,False
Anjali Patil,False,5,False,False
Gaurav Gera,False,5,False,False
Kapil Sharma,False,5,False,False
Vikram Kochhar,False,5,False,False
Ayub Khan,False,5,False,False
Sunny Kaushal,True,5,False,False
Tushar Kapoor,False,5,False,False
Wamiqa Gabbi,False,5,False,False
Raghuvir Yadav,False,5,False,False
Kulbhushan Kharbanda,False,5,False,True
Lucky Ali,False,5,False,False
Kiron Kher,False,5,False,False
Arun Govil,False,5,False,False
Pavail Gulati,False,5,False,False
Kishori Shahane,False,5,False,False
Faisal Khan,True,5,False,False
Prithviraj Sukumaran,False,5,False,False
Priyamani,False,5,False,True
Priya Anand,False,5,False,False
Zoya Hussain,False,5,False,False
Pooja Chopra,False,5,False,False
Sophie Choudry,False,5,False,False
Taaha Shah,False,5,False,False
Mona Singh,False,5,False,False
Mrinalini Sharma,False,5,False,False
Sakshi Tanwar,False,5,False,False
Karan Johar,False,5,False,False
Ammy Virk,False,4,False,False
Raza Murad,False,4,False,False
Neeru Bajwa,False,4,False,False
Rajat Barmecha,False,4,False,False
Richa Pallod,False,4,False,False
Hansika Motwani,False,4,False,True
Shenaz Treasurywala,False,4,False,True
Rajeshwari Sachdev,False,4,False,False
