year,movie,imdb_rating,imdb_votes,imdb_matched_title
2022,Sharmaji Namkeen,7.4,13799,Sharmaji Namkeen
2022,Sherdil,6.5,3072,Sherdil
2022,Siya,7.5,6631,Siya
2022,Tadka,6.7,2178,Tadka
2022,Tara Vs Bilal,5.9,3016,Tara vs Bilal
2022,Thai Massage,6.2,2115,Thai Massage
2022,Thank God,5.6,13059,Thank God
2022,Thar,6.1,8356,Thar
2022,The Kashmir Files,8.5,579056,The Kashmir Files
2022,Toolsidas Junior,7.5,5732,Toolsidas Junior
2022,Trahimam,7.8,1096,Trahimam
2022,Uunchai,7.0,7835,Uunchai
2022,Vadh,7.2,8680,Vadh
2022,Vikram Vedha,7.1,27399,Vikram Vedha
2023,12th Fail,8.7,172191,12th Fail
2023,1920: Horrors of the Heart,2.7,4381,1920: Horrors of the Heart
2023,72 Hoorain,,,
2023,8 A.M. Metro,7.7,2502,8 A.M. Metro
2023,Aankh Micholi,5.6,1366,Aankh Micholi
2023,Aazam,6.1,856,Aazam
2023,Adipurush,2.6,137537,Adipurush
2023,Afwaah,5.7,4754,Afwaah
2023,Ajmer 92,8.0,1409,Ajmer 92
2023,Akelli,6.0,6306,Akelli
2023,Almost Pyaar with DJ Mohabbat,4.9,1178,Almost Pyaar with DJ Mohabbat
2023,Am I Next,5.2,386,Am I Next
2023,Animal,6.2,115949,Animal
2023,Apurva,6.2,2726,Apurva
2023,Aseq,5.2,3972,Aseq
2023,Bad Boy,6.5,8627,Bad Boy
2023,Bawaal,6.6,17597,Bawaal
2023,Bhagwan Bharose,6.7,827,Bhagwan Bharose
2023,Bheed,6.5,12812,Bheed
2023,Bholaa,5.8,26043,Bholaa
2023,Blind,4.1,6237,Blind
2023,Bloody Daddy,6.5,23542,Bloody Daddy
2023,Chatrapathi,4.0,3706,Chatrapathi
2023,Chhatriwali,6.6,11259,Chhatriwali
2023,Chor Nikal Ke Bhaga,7.2,56453,Chor Nikal Ke Bhaga
2023,Coat,7.7,69,Coat
2023,Darran Chhoo,8.6,50,Darran Chhoo
2023,Dhak Dhak,6.3,2398,Dhak Dhak
2023,Do Ajnabee,7.0,12,Do Ajnabee
2023,Dono,5.2,456,Dono
2023,Dream Girl 2,5.2,13319,Dream Girl 2
2023,Dry Day,5.4,1556,Dry Day
2023,Dunki,6.5,85862,Dunki
2023,Dvand: The Internal Conflict,5.2,1061,Dvand: The Internal Conflict
2023,Faraaz,5.0,2079,Faraaz
2023,Farrey,6.2,7023,Farrey
2023,Friday Night Plan,6.6,2134,Friday Night Plan
2023,Fukrey 3,5.5,25950,Fukrey 3
2023,Gadar 2,5.1,25503,Gadar 2
2023,Ganapath,2.6,10774,Ganapath
2023,Gandhi Godse – Ek Yudh,6.6,8543,Gandhi Godse Ek Yudh
2023,Gaslight,5.8,26430,Gaslight
2023,Ghoomer,7.5,12840,Ghoomer
2023,Goldfish,6.2,733,Goldfish
2023,Gulmohar,7.6,5976,Gulmohar
2023,Gumraah,6.5,7802,Gumraah
2023,Guthlee Ladoo,7.6,1672,Guthlee Ladoo
2023,Haddi,5.5,5872,Haddi
2023,Hukus Bukus,7.4,34,Hukus Bukus
2023,I Love You,5.4,5743,I Love You
2023,IB71,7.1,11967,IB 71
2023,InCar,5.8,123,InCar
2023,Ishq-e-Nadaan,6.5,402,Ishq-e-nadaan
2023,Jaane Jaan,7.0,16845,Jaane Jaan
2023,Jawan,6.9,111425,Jawan
2023,Jogira Sara Ra Ra,6.4,3269,Jogira Sara Ra Ra
2023,Joram,6.5,2838,Joram
2023,Kacchey Limbu,6.3,511,Kacchey Limbu
2023,Kadak Singh,6.2,6142,Kadak Singh
2023,Kaisi Ye Dor,7.5,16,Kaisi Ye Dor
2023,Kanjoos Makhichoos,6.6,9173,Kanjoos Makhichoos
2023,Kathal,8.2,47,Kathal
2023,Khichdi 2: Mission Paanthukistan,5.5,39,Khichdi 2: Mission Paanthukistan
2023,Kho Gaye Hum Kahan,7.3,31738,Kho Gaye Hum Kahan
2023,Khufiya,6.1,8894,Khufiya
2023,Kisi Ka Bhai Kisi Ki Jaan,3.9,42021,Kisi Ka Bhai Kisi Ki Jaan
2023,Kuttey,5.4,11498,Kuttey
2023,Lafzon Mein Pyaar,,,
2023,Lakadbaggha,6.2,2518,Lakadbaggha
2023,Lakeerein,7.9,27,Lakeerein
2023,Lost,7.1,56,Lost
2023,Love All,7.3,221,Love-All
2023,Lust Stories 2,5.7,52106,Lust Stories 2
2023,Mandali,5.9,1108,Mandali
2023,Mast Mein Rehne Ka,7.1,3929,Mast Mein Rehne Ka
2023,Minus 31: The Nagpur Files,5.3,2402,Minus 31: The Nagpur Files
2023,Mission Majnu,6.9,45594,Mission Majnu
2023,Mission Raniganj,7.2,20383,Mission Raniganj
2023,Mother Teresa & Me,4.7,157,Mother Teresa & Me
2023,Mrs. Chatterjee vs Norway,7.3,11233,Mrs. Chatterjee vs. Norway
2023,Mrs. Undercover,5.6,10046,Mrs Undercover
2023,Mujib: The Making of a Nation,,,
2023,Mumbaikar,4.8,851,Mumbaikar
2023,Music School,6.0,718,Music School
2023,Mystery of the Tattoo,8.1,40,Mystery of the Tattoo
2023,Neeyat,5.3,4962,Neeyat
2023,Non Stop Dhamaal,4.7,2154,Non Stop Dhamaal
2023,OMG 2,7.5,47571,OMG 2
2023,One Friday Night,5.1,590,One Friday Night
2023,Operation Fryday,4.0,241,Operation Fryday
2023,Operation Mayfair,2.4,1266,Operation Mayfair
2023,Panch Kriti,,,
2023,Pathaan,5.8,166289,Pathaan
2023,Pinky Beauty Parlour,,,
2023,Pippa,6.2,3016,Pippa
2023,Pyaar Hai Toh Hai,7.0,48,Pyaar Hai Toh Hai
2023,Pyar Ki Policy,8.9,33,Pyar Ki Policy
2023,Rabia & Olivia,,,
2023,Rocky Aur Rani Kii Prem Kahaani,6.5,50970,Rocky Aur Rani Kii Prem Kahaani
2023,Sab Moh Maaya Hai,5.8,187,Sab Moh Maaya Hai
2023,Safed,4.1,185,Safed
2023,Sajini Shinde Ka Viral Video,6.2,6200,Sajini Shinde Ka Viral Video
2023,Sam Bahadur,7.7,21825,Sam Bahadur
2023,Satyaprem Ki Katha,6.6,31767,Satyaprem Ki Katha
2023,Selfiee,5.7,14897,Selfiee
2023,Sergeant,3.9,511,Sergeant
2023,Shastry Viruddh Shastry,6.9,2432,Shastry Viruddh Shastry
2023,Shehzada,4.5,32187,Shehzada
2023,Shiv Shastri Balboa,6.6,2360,Shiv Shastri Balboa
2023,Sir Madam Sarpanch,5.3,144,Sir Madam Sarpanch
