year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2023,Lust Stories 2,R. Balki Konkona Sen Sharma Amit Ravindernath Sharma Sujoy Ghosh,Amruta Subhash; Angad Bedi; Neena Gupta; Mrunal Thakur; Kumud Mishra; Tamannaah Bhatia; Kajol; Tillotama Shome; Vijay Varma,,,yes,Kajol
2023,Sergeant,Prawaal Raman,Randeep Hooda; Adil Hussain; Sapna Pabbi; Arun Govil; Sonia Goswami,,,no,
2023,Neeyat,Anu Menon,Vidya Balan; Ram Kapoor; Rahul Bose; Shahana Goswami; Neeraj Kabi; Prajakta Koli; Shashank Arora; Amrita Puri,₹5.50 crore,5.50,no,
2023,Tarla,Piyush Gupta,Huma Qureshi; Sharib Hashmi; Veenah Naair,,,no,
2023,Blind,Shome Makhija,Sonam Kapoor; Purab Kohli; Vinay Pathak; Lillete Dubey,,,yes,Sonam Kapoor
2023,72 Hoorain,Sanjay Puran Singh Chauhan,Saru Maini; Aamir Bashir; Rasheed Naz; Pawan Malhotra,,,no,
2023,Ishq-e-Nadaan,Avishek Ghosh,Lara Dutta; Neena Gupta; Kanwaljit Singh; Shriya Pilgaonkar; Mohit Raina; Suhail Nayyar,,,no,
2023,Bawaal,Nitesh Tiwari,Varun Dhawan; Janhvi Kapoor,,,yes,Varun Dhawan; Janhvi Kapoor
2023,Trial Period,Aleya Sen,Genelia Deshmukh; Manav Kaul; Shakti Kapoor; Sheeba Chadha; Gajraj Rao,,,no,
2023,Minus 31: The Nagpur Files,Pratik Moitro,Shivankit Singh Parihar; Raghubir Yadav; Rajesh Sharma; Rucha Inamdar; Santosh Juvekar; Jaya Bhattacharya,₹ 0.06 crore,0.06,no,
2023,Ajmer 92,Pushpendra Singh,Karan Verma; Rajesh Sharma; Sayaji Shinde; Brijendra Kala; Zarina Wahab; Manoj Joshi; Alka Amin,₹ 1 crore,1.00,no,
