year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2006,Humko Deewana Kar Gaye,no,27.0,5.2,4610,3.664,1.447
2006,Mere Jeevan Saathi,yes,7.82,3.4,1123,3.051,0.945
2006,Phir Hera Pheri,no,69.0,7.4,32162,4.507,1.845
2007,Bhool Bhulaiyaa,no,83.0,7.5,38656,4.587,1.924
2007,Heyy Babyy,yes,84.0,6.1,17780,4.25,1.929
2007,Namastey London,yes,71.4,7.1,24203,4.384,1.86
2007,Welcome,no,122.0,7.2,29634,4.472,2.09
2008,Jumbo,no,21.0,6.7,180,2.258,1.342
2008,Singh Is Kinng,no,136.0,5.8,17967,4.254,2.137
2008,Tashan,yes,51.0,3.9,6222,3.794,1.716
2009,8 x 10 Tasveer,no,23.58,5.5,6467,3.811,1.391
2009,Blue,yes,63.92,3.8,5584,3.747,1.812
2009,Chandni Chowk to China,no,120.0,4.4,10546,4.023,2.083
2010,Housefull,no,114.18,5.7,18102,4.258,2.061
2010,Khatta Meetha,no,62.79,6.2,15794,4.199,1.805
2010,Tees Maar Khan,yes,101.89,3.0,17122,4.234,2.012
2011,Desi Boyz,yes,77.0,5.7,16367,4.214,1.892
2011,Patiala House,yes,35.3,5.7,10100,4.004,1.56
2011,Thank You,yes,104.0,4.9,6885,3.838,2.021
2012,Housefull 2,yes,179.15,5.5,17947,4.254,2.256
