actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Kangana Ranaut,no,2010,Once Upon A Time In Mumbaai,96.44,no,Milan Luthria
Karan Nath,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Kareena Kapoor,yes,2000,Refugee,35.44,yes,J. P. Dutta
Kareena Kapoor,yes,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Kareena Kapoor,yes,2001,Yaadein,34.59,yes,Subhash Ghai
Kareena Kapoor,yes,2002,Mujhse Dosti Karoge!,33.61,yes,Kunal Kohli
Kareena Kapoor,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj Barjatya
Kareena Kapoor,yes,2004,Aitraaz,29.00,yes,Abbas–Mustan
Kareena Kapoor,yes,2004,Hulchul,33.09,yes,Priyadarshan
Kareena Kapoor,yes,2006,Don: The Chase Begins Again,106.00,yes,Farhan Akhtar
Kareena Kapoor,yes,2008,Golmaal Returns,95.00,yes,Rohit Shetty
Kareena Kapoor,yes,2009,Kambakkht Ishq,85.56,yes,Sabbir Khan
Kareena Kapoor,yes,2010,Golmaal 3,167.00,yes,Rohit Shetty
Kareena Kapoor Khan,yes,2009,3 Idiots,400.61,yes,Rajkumar Hirani
Karishma Kapoor,yes,2000,Fiza,32.20,yes,Khalid Mohammed
Karishma Kapoor,yes,2001,Ek Rishtaa: The Bond of Love,36.50,yes,Suneel Darshan
Karisma Kapoor,yes,2000,Dulhan Hum Le Jayenge,36.87,yes,David Dhawan
Katrina Kaif,no,2005,Maine Pyaar Kyun Kiya?,47.22,yes,David Dhawan
Katrina Kaif,no,2007,Namastey London,71.40,yes,Vipul Amrutlal Shah
Katrina Kaif,no,2007,Partner,101.00,yes,David Dhawan
Katrina Kaif,no,2007,Welcome,122.00,no,Anees Bazmee
Katrina Kaif,no,2008,Race,106.00,yes,Abbas–Mustan
Katrina Kaif,no,2008,Singh Is Kinng,136.00,no,Anees Bazmee
Katrina Kaif,no,2009,Ajab Prem Ki Ghazab Kahani,106.74,yes,Rajkumar Santoshi
Katrina Kaif,no,2009,Blue,63.92,yes,Anthony D'Souza
Katrina Kaif,no,2009,De Dana Dan,81.85,no,Priyadarshan
Katrina Kaif,no,2009,New York,78.34,no,Kabir Khan
Katrina Kaif,no,2010,Raajneeti,145.50,yes,Prakash Jha
Katrina Kaif,no,2010,Tees Maar Khan,101.89,yes,Farah Khan
Kay Kay Menon,no,2005,Sarkar,39.30,yes,Ram Gopal Varma
Kirron Kher,no,2004,Hum Tum,43.22,yes,Kunal Kohli
Kirron Kher,no,2005,Mangal Pandey: The Rising,52.58,yes,Ketan Mehta
Kirron Kher,no,2006,Fanaa,103.00,yes,Kunal Kohli
Kirron Kher,no,2006,Kabhi Alvida Naa Kehna,113.00,yes,Karan Johar
Kirron Kher,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Kirron Kher,no,2007,Om Shanti Om,152.00,no,Farah Khan
Kirron Kher,no,2008,Dostana,87.00,yes,Tarun Mansukhani
Kirron Kher,no,2008,Singh Is Kinng,136.00,no,Anees Bazmee
Kirron Kher,no,2009,Kambakkht Ishq,85.56,yes,Sabbir Khan
Kishori Ballal,no,2004,Swades,40.20,no,Ashutosh Gowariker
Kumar Gaurav,no,2002,Kaante,36.37,yes,Sanjay Gupta
Kunal Kapoor,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Kunal Khemu,no,2010,Golmaal 3,167.00,yes,Rohit Shetty
Lara Dutta,no,2003,Andaaz,28.81,no,Raj Kanwar
Lara Dutta,no,2004,Masti,34.14,yes,Indra Kumar
Lara Dutta,no,2005,No Entry,95.14,yes,Anees Bazmee
Lara Dutta,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Lara Dutta,no,2007,Partner,101.00,yes,David Dhawan
Lara Dutta,no,2009,Blue,63.92,yes,Anthony D'Souza
Lara Dutta,no,2010,Housefull,114.18,no,Sajid Khan
Lillete Dubey,no,2001,Gadar: Ek Prem Katha,133.13,yes,Anil Sharma
Lucky Ali,no,2002,Kaante,36.37,yes,Sanjay Gupta
Madhuri Dixit,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Madhuri Dixit,no,2002,Devdas,90.00,no,Sanjay Leela Bhansali
Madhuri Dixit,no,2002,Hum Tumhare Hain Sanam,34.76,yes,K. S. Adhiyaman
Mahesh Manjrekar,no,2002,Kaante,36.37,yes,Sanjay Gupta
Mahesh Manjrekar,no,2009,Wanted,93.23,yes,Prabhu Deva
Mahie Gill,no,2010,Dabangg,221.14,yes,Abhinav Kashyap
Mahima Chaudhry,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Mahima Chaudhry,no,2003,Baghban,43.11,yes,Ravi Chopra
Malini Sharma,no,2002,Raaz,37.20,no,Vikram Bhatt
Mallika Sherawat,no,2007,Welcome,122.00,no,Anees Bazmee
Manini Mishra,no,2006,Krrish,126.50,yes,Rakesh Roshan
Manisha Koirala,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Manisha Koirala,no,2002,Company,25.02,yes,Ram Gopal Varma
Manoj Bajpayee,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Manoj Bajpayee,no,2010,Raajneeti,145.50,yes,Prakash Jha
Manoj Joshi,no,2004,Hulchul,33.09,yes,Priyadarshan
Manoj Joshi,no,2005,Garam Masala,64.65,no,Priyadarshan
Manoj Joshi,no,2006,Phir Hera Pheri,69.00,no,Neeraj Vora
Manoj Joshi,no,2007,Bhool Bhulaiyaa,83.00,no,Priyadarshan
Milind Gunaji,no,2006,Phir Hera Pheri,69.00,no,Neeraj Vora
Minissha Lamba,no,2008,Bachna Ae Haseeno,79.00,yes,Siddharth Anand
Mithun Chakraborty,no,2007,Guru,83.67,yes,Mani Ratnam
Mithun Chakraborty,no,2010,Golmaal 3,167.00,yes,Rohit Shetty
Mohanlal,no,2002,Company,25.02,yes,Ram Gopal Varma
Mohnish Bahl,no,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Mohnish Bahl,no,2001,Ek Rishtaa: The Bond of Love,36.50,yes,Suneel Darshan
Mohnish Bahl,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Mona Singh,no,2009,3 Idiots,400.61,yes,Rajkumar Hirani
Monica Bedi,no,2001,Jodi No.1,34.13,yes,David Dhawan
Mugdha Godse,no,2009,All the Best: Fun Begins,61.00,yes,Rohit Shetty
Mukesh Rishi,no,2001,Indian,42.61,yes,N. Maharajan
Nagarjuna Akkineni,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Nana Patekar,no,2007,Welcome,122.00,no,Anees Bazmee
Nana Patekar,no,2010,Raajneeti,145.50,yes,Prakash Jha
Nargis Bagheri,no,2005,Garam Masala,64.65,no,Priyadarshan
Naseeruddin Shah,no,2006,Krrish,126.50,yes,Rakesh Roshan
Naseeruddin Shah,no,2010,Raajneeti,145.50,yes,Prakash Jha
Neetu Chandra,no,2005,Garam Masala,64.65,no,Priyadarshan
Neha Dhupia,no,2003,Qayamat: City Under Threat,28.52,yes,Harry Baweja
Neha Dhupia,no,2005,Garam Masala,64.65,no,Priyadarshan
Neha Dhupia,no,2008,Singh Is Kinng,136.00,no,Anees Bazmee
Neil Nitin Mukesh,no,2009,New York,78.34,no,Kabir Khan
Nina Wadia,no,2007,Namastey London,71.40,yes,Vipul Amrutlal Shah
Om Puri,no,2006,Don: The Chase Begins Again,106.00,yes,Farhan Akhtar
Om Puri,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
