actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Nargis Fakhri,no,11,-0.3018181818181818,-0.07584964834495457,7.8,3.3,55214,18694
Naseeruddin Shah,no,49,-0.0013979591836734701,0.004149894136534358,4.5,7.1,844,3822
Nassar,no,6,0.1,-0.02700054587080359,6.2,6.8,2563,11898
Natassha,no,5,0.25999999999999995,0.08999330364800903,4.4,5.7,1109,1794
Nauheed Cyrusi,no,10,-0.18242424242424243,-0.002324600930245268,5.3,3.8,217,64
Nawazuddin Siddiqui,no,42,-0.054557977473462436,-0.015373653971913115,6.1,5.8,1364,49285
Neena Gupta,no,20,-0.06240601503759399,0.007662646592542964,6.4,4.0,20,28122
Neeraj Kabi,no,7,-0.2857142857142857,-0.01954909377340822,7.6,5.3,25602,4962
Neetu Chandra,no,7,-0.2428571428571428,-0.14654194754489808,6.6,4.5,1862,164
Neha,no,5,-0.42000000000000004,-0.3058354233341979,6.0,4.5,4761,147
Neha Dhupia,no,36,0.020810810810810817,0.011260035167131564,4.8,4.7,2742,27614
Neha Sharma,no,9,0.10166666666666664,-0.043940735543616376,5.0,6.4,4426,3269
Neil Bhoopalam,no,6,0.32857142857142857,-0.06528027490521622,5.1,7.1,122,56
Neil Nitin Mukesh,no,19,-0.053157894736842105,0.0028284564784886433,7.8,5.8,14157,2171
Nikita Dutta,no,7,-0.15357142857142866,-0.1420531757206473,4.7,5.1,736,1033
Nisha Kothari,no,6,-0.03714285714285714,-0.05730227950175366,3.8,2.8,392,175
Nora Fatehi,no,7,0.04285714285714299,0.03250701062992743,5.6,4.4,851,326
Nushrat Bharucha,no,6,0.03999999999999999,0.10939422202886549,7.6,7.0,23629,18646
Nushrratt Bharuccha,no,11,-0.23454545454545453,-0.0888357065494959,6.6,4.4,20488,326
Om Puri,no,57,-0.017208970702618613,-0.01061555937558007,8.0,5.9,15186,35
Omi Vaidya,no,6,-0.3457142857142857,-0.2783680199176281,8.4,7.2,482868,13462
Omkar Das Manikpuri,no,7,-0.15000000000000005,-0.10608979099768527,7.4,6.7,13221,631
Pallavi Joshi,no,6,-0.17142857142857135,-0.05907836862784995,7.1,6.9,8202,12076
Pankaj Kapur,no,10,0.08242424242424246,0.06976926639802462,5.5,7.4,3783,5522
Pankaj Tripathi,no,33,0.011697860962566843,0.023829559293481108,7.4,6.6,5608,23097
Paoli Dam,no,6,0.028571428571428494,-0.04630357094374399,5.3,5.1,4212,483
Parambrata Chatterjee,no,6,0.07999999999999995,0.04342140609666856,8.1,6.6,69992,16592
Paresh Rawal,no,79,-0.008269230769230768,0.0036956922601587804,8.2,5.2,80796,9033
Parineeti Chopra,no,19,0.01315789473684212,0.004403322088112962,6.1,7.8,11642,17364
Parvin Dabas,no,15,0.05571428571428571,0.1368646785243017,6.4,7.5,31,10474
Pavail Gulati,no,5,0.15999999999999998,-0.02082806368260757,4.5,6.1,6300,10919
Pavan Malhotra,no,5,0.07000000000000002,0.13408747496468426,5.9,5.4,50,1479
Payal Rohatgi,no,12,0.007692307692307661,0.04536223144582674,4.7,3.1,283,43
Perizaad Zorabian,no,5,-0.36000000000000004,-0.12004368817290864,6.2,4.3,422,42
Piyush Mishra,no,10,-0.23818181818181813,-0.009398796453651097,8.2,4.9,3060,6158
Pooja Batra,no,8,-0.13214285714285717,-0.05150403834185322,6.4,4.2,34,35
Pooja Hegde,no,6,0.18857142857142856,0.08732322094490626,5.6,6.6,13735,29995
Prabhu Deva,no,8,-0.2023809523809523,0.019215532308524696,4.6,6.4,433,11942
Prachi Desai,no,12,-0.05314685314685317,-0.051843227899531316,7.7,6.2,23517,2025
